Date,Open,High,Low,Close,Volume
2011-01-03,83.7283,84.9397,83.495,84.258,15531.19266006
2011-01-04,84.258,86.9084,84.258,86.5355,144298.89907801
2011-01-05,86.6837,87.5203,86.5355,87.2143,78118.238529643
2011-01-07,87.2927,87.2927,85.3977,85.696,11962.678898705
2011-01-10,85.696,86.2286,82.9633,83.8774,29472.660549528
2011-01-11,84.258,84.9397,84.1021,84.1021,15270.77064172
2011-01-12,84.258,85.0152,84.258,84.7905,17284.07339395
2011-01-13,84.7905,84.7905,84.1021,84.258,20087.009173678
2011-01-14,84.7905,84.7905,83.3458,83.8774,19234.623852604
2011-01-17,83.8774,84.4836,83.495,83.951,24353.119265286
2011-01-18,83.951,85.3977,83.951,85.3977,43624.348622476
2011-01-19,85.3977,85.6214,85.0152,85.5468,11557.92660514
2011-01-20,85.3977,85.4723,83.951,85.3977,7588.8440364576
2011-01-21,84.409,86.1521,84.409,84.7905,21020.9724764
2011-01-24,84.9397,85.5468,83.495,83.8774,38702.477062998
2011-01-25,85.0152,85.0152,83.6527,84.3344,52100.091741474
2011-01-26,84.3344,86.1521,84.3344,84.9397,13642.348623422
2011-01-27,85.0152,85.7715,83.7283,84.258,28633.871558729
2011-01-28,84.258,85.0152,84.1748,84.4836,2458.8440366196
2011-01-31,84.4836,86.1521,83.8774,86.1521,20364.165136972
2011-02-01,85.7715,91.0915,85.7715,90.3314,114939.19265692
2011-02-02,89.947,91.7713,89.2662,89.7988,21024.110091079
2011-02-03,91.0915,91.0915,89.5626,89.5626,37657.651374958
2011-02-04,89.5626,90.2444,88.8111,89.0387,22609.651375433
2011-02-07,89.5626,93.8251,89.5626,92.1499,75327.85320863
2011-02-08,92.9799,93.3575,92.0027,92.2236,45785.119264609
2011-02-09,92.6108,92.9799,91.6939,91.8459,33834.99082462
2011-02-10,91.8459,91.8459,87.2927,88.8819,40431.302751017
2011-02-11,89.7988,90.8649,89.7988,90.1746,18274.513760891
2011-02-14,90.7071,91.8459,89.947,90.0254,4151.0642200524
2011-02-15,90.0254,91.0131,89.729,90.1746,11157.357797813
2011-02-16,90.0254,91.0915,90.0254,90.7071,28698.715595424
2011-02-17,90.3314,90.7071,89.7988,89.947,14448.715595874
2011-02-18,89.729,89.729,87.2927,89.4154,13595.28440324
2011-02-21,88.5061,89.1964,88.2001,88.8819,2603.1743118444
2011-02-22,88.6639,88.6639,87.2927,87.3625,6655.9266052944
2011-02-23,87.2927,88.8819,87.2927,88.5759,5328.715596162
2011-02-24,89.1094,89.1094,87.2927,88.0443,12805.651375742
