Date,Open,High,Low,Close
2023-01-02,4.68574,4.69571,4.66611,4.67022
2023-01-03,4.67154,4.68775,4.66676,4.67226
2023-01-04,4.6723,4.67958,4.65672,4.66787
2023-01-05,4.66849,4.6912,4.66401,4.68288
2023-01-06,4.68304,4.70854,4.68028,4.6879
2023-01-09,4.6949,4.70161,4.68207,4.6944
2023-01-10,4.69456,4.70218,4.68369,4.68906
2023-01-11,4.68819,4.69361,4.67729,4.68698
2023-01-12,4.68531,4.70229,4.68505,4.69604
2023-01-13,4.6962,4.69985,4.68321,4.69453
2023-01-16,4.6931,4.70454,4.68413,4.69406
2023-01-17,4.69405,4.70517,4.68681,4.69971
2023-01-18,4.69971,4.7209,4.69467,4.71837
2023-01-19,4.71757,4.7508,4.70157,4.7223
2023-01-20,4.72213,4.72348,4.70397,4.70645
2023-01-23,4.70759,4.72214,4.70355,4.7078
2023-01-24,4.70824,4.72009,4.7041,4.71108
2023-01-25,4.71127,4.72141,4.70591,4.71478
2023-01-26,4.7134,4.73105,4.70836,4.71138
2023-01-27,4.71111,4.71356,4.70275,4.7084
2023-01-30,4.70951,4.71629,4.70505,4.71066
2023-01-31,4.71089,4.71615,4.70576,4.70898
2023-02-01,4.70902,4.71288,4.70093,4.70101
2023-02-02,4.70126,4.71146,4.67916,4.68418
2023-02-03,4.68451,4.71921,4.68223,4.71837
2023-02-06,4.70976,4.74985,4.704,4.74225
2023-02-07,4.74028,4.77647,4.73966,4.74987
2023-02-08,4.74998,4.75178,4.72199,4.73694
2023-02-09,4.73555,4.758,4.73022,4.75379
2023-02-10,4.75368,4.7885,4.74928,4.77835
2023-02-13,4.76977,4.7975,4.76863,4.7861
2023-02-14,4.78694,4.79877,4.76058,4.77375
2023-02-15,4.77418,4.77908,4.75256,4.75897
2023-02-16,4.75788,4.78479,4.75749,4.7709
2023-02-17,4.77127,4.78195,4.75646,4.75667
2023-02-20,4.76611,4.7709,4.73833,4.74171
2023-02-21,4.7414,4.75409,4.74117,4.74976
2023-02-22,4.74954,4.76547,4.7392,4.75325
2023-02-23,4.75324,4.76064,4.72228,4.72646
2023-02-24,4.72747,4.72816,4.71652,4.71964
2023-02-27,4.7201,4.72347,4.71112,4.71345
2023-02-28,4.71424,4.72275,4.7022,4.70401
2023-03-01,4.70491,4.7074,4.66175,4.67199
2023-03-02,4.67218,4.70211,4.66557,4.70029
2023-03-03,4.70092,4.71211,4.69592,4.70826
2023-03-06,4.70855,4.71172,4.68735,4.69073
2023-03-07,4.69094,4.69309,4.6823,4.6895
2023-03-08,4.69184,4.70538,4.67155,4.68359
2023-03-09,4.68367,4.6935,4.67641,4.69154
2023-03-10,4.68878,4.69241,4.6715,4.67914
2023-03-13,4.68136,4.70445,4.66799,4.68099
2023-03-14,4.68099,4.70834,4.67863,4.70684
2023-03-15,4.70737,4.71846,4.68347,4.70256
2023-03-16,4.70269,4.71867,4.68673,4.69855
2023-03-17,4.69854,4.71024,4.69007,4.70318
2023-03-20,4.70302,4.72006,4.70075,4.70469
2023-03-21,4.70478,4.70993,4.67919,4.68591
2023-03-22,4.68595,4.69462,4.67926,4.68561
2023-03-23,4.68566,4.68876,4.67474,4.68362
2023-03-24,4.6831,4.69878,4.67857,4.68869
2023-03-27,4.68691,4.69322,4.68067,4.68589
2023-03-28,4.68571,4.6891,4.67506,4.67756
2023-03-29,4.67791,4.68995,4.67377,4.68798
2023-03-30,4.68805,4.69045,4.67308,4.6766
2023-03-31,4.6757,4.68323,4.66798,4.67907
2023-04-03,4.67648,4.68649,4.66775,4.67364
2023-04-04,4.67346,4.68209,4.66799,4.67862
2023-04-05,4.67809,4.69288,4.67355,4.68631
2023-04-06,4.68599,4.69434,4.68237,4.68598
2023-04-07,4.68571,4.68683,4.67503,4.68049
2023-04-10,4.68108,4.69182,4.67605,4.68698
2023-04-11,4.68733,4.69253,4.66547,4.66718
2023-04-12,4.66706,4.6748,4.65041,4.65322
2023-04-13,4.65156,4.65561,4.63092,4.63867
2023-04-14,4.63918,4.65848,4.63333,4.64432
